Предметы;Товары;Товары с движением;Товары с продажами;% товаров с движением;% товаров с продажами;Продажи;Выручка;Продавцы;Продавцы с продажами;% продавцов с продажами;Минимальная цена;Максимальная цена;Средняя цена;Медианная цена;Минимальная цена с продажами;Максимальная цена с продажами;Средняя цена с продажами;Медианная цена с продажами;Средний рейтинг;Средний % выкупа;Средний % выкупа с учетом возвратов
Дом / Благовония;24738;5445;4167;22,010671840892556;16,844530681542565;75473;25486539;934;410;43,897216274089935;0;76000;855,9518554450643;364;72;8701;412,48308135349174;275;4,492726834364703;96,32;96,26
Все для садоводства / Фигурки садовые;17510;2898;2100;16,550542547115935;11,993146773272416;20809;25726342;528;221;41,8560606060606;0;76000;2481,9108509423186;1613,5;92;24000;1522,3333333333333;1194;4,382952815829528;89,1;88,61
Спортивный товар / Воблеры;65528;10130;6089;15,459040410206324;9,29221096325235;44460;25816798;481;242;50,311850311850314;0;48127;935,341869124649;666;61;25130;664,7428149121366;568;4,634581359511444;95,42;95,26
Спортивные аксессуары / Шапочки для плавания;17810;6539;3985;36,715328467153284;22,375070185289164;69787;26034499;869;425;48,90678941311853;0;169150;1430,4272318921953;496,5;106;49500;600,7041405269762;406;4,344330612953637;87,73;86,85
Рукоделие / Швейная фурнитура;61196;13102;7749;21,409896071638666;12,662592326295835;87972;26101843;1152;545;47,30902777777778;0;27310;620,0190698738479;408;50;11480;377,305845915602;277;4,647439765093922;94,92;94,53
Спортивные аксессуары / Вратарские перчатки;1745;710;550;40,68767908309456;31,518624641833814;12732;26238229;288;168;58,333333333333336;25;34000;2600,6160458452723;1500;76;16243;2572,3418181818183;1674;4,159072741806555;81,95;80,29
Канцелярские товары / Альбомы для коллекционирования;6212;1831;1464;29,47520927237605;23,567289117836445;45392;27014965;306;158;51,63398692810458;87;285960;1488,1157437218287;690,5;112;10285;867,3408469945355;510;4,7432392273402675;96,34;96,08
Рукоделие / Резинки для рукоделия;13967;4309;3047;30,851292331925254;21,815708455645453;79678;27141186;804;379;47,13930348258707;0;199000;774,3655044032362;450;61;3452;360,8624876928126;280;4,69265506707398;96,08;95,92
Рукоделие / Наборы для создания слепков;1463;551;460;37,66233766233766;31,442241968557756;28199;27289206;461;232;50,32537960954446;50;179081;1296,3171565276828;864;120;4990;1025,254347826087;900;4,24009324009324;92,03;91,72
Спортивный товар / Жилеты разгрузочные;3545;890;591;25,105782792665725;16,671368124118477;5178;27629678;389;160;41,131105398457585;300;220000;16034,690267983075;9895;585;65959;9275,160744500847;6000;4,314094775212637;76,14;73,86
Красота / Кисти для дизайна ногтей;6241;1866;1523;29,8990546386797;24,40314052235219;160900;27677157;714;331;46,358543417366946;50;199000;513,8956897933024;273;59;4554;318,3525935653316;210;4,619253650621958;96,58;96,57
Аксессуары / Браслеты для часов;25413;6644;4871;26,144099476645813;19,1673552905993;49130;27700654;413;208;50,36319612590799;0;150000;1389,579782001338;690;80;23739;750,2857729419011;490;4,376710901132495;90,05;88,39
Смартфоны и аксессуары / Дисплеи для смартфонов;28096;4247;2533;15,11603075170843;9,015518223234626;15546;27907540;181;98;54,14364640883978;0;130000;3080,6913439635537;2296,5;88;53317;2531,970785629688;1942;3,4554334554334556;88,24;86,6
Белье / Бюстье;5915;2093;1652;35,38461538461539;27,928994082840237;45001;28172400;533;267;50,093808630393994;0;35186;1345,8564666103127;676;120;8089;837,2360774818402;631,5;4,621854304635762;78,05;77,97
Товары для отдыха и кемпинга / Тенты для бассейнов;4032;1005;862;24,925595238095237;21,378968253968253;16541;28262719;480;209;43,54166666666667;100;150000;3140,9880952380954;1966;195;42691;2138,6078886310906;1575;4,191521197007481;90,92;89,59
Дом / Карнизы;8558;1449;1161;16,931526057490068;13,566253797616266;24120;28357046;223;99;44,39461883408072;0;47595;5445,142790371582;3778;63;7362;1685,8561584840654;1278;4,155506969117245;90,17;89,04
Спортивные аксессуары / Перчатки спортивные;12118;3968;2169;32,74467733949496;17,8989932332068;36391;28404153;1301;557;42,813220599538816;0;49500;2554,4752434395114;1350;0;14600;1436,8552328261871;900;4,407970634504458;87,13;86,21
Аксессуары / Ремни для сумок;10888;4824;3797;44,305657604702425;34,873254959588536;65201;28729562;489;314;64,21267893660531;0;100000;1239,214180749449;636;50;7300;652,2014748485647;532;4,8309022150189085;91,57;90,77
Одежда / Брюки пижамные;5377;2487;1878;46,25255718802306;34,9265389622466;30092;28892831;594;304;51,178451178451176;100;199000;1372,4294216105636;967;232;14000;1179,7646432374868;903;4,629910406616127;81,93;79,44
Строительные материалы / Краски для мебели;3535;1199;1037;33,91796322489392;29,335219236209333;28310;29225626;80;45;56,25;182;18207;1833,1869872701557;1219;182;6279;1151,8486017357764;982;4,467256637168141;88,09;87,49
Дом / Постеры;861127;17399;8039;2,020491750926402;0,9335440649288664;67402;29239061;936;452;48,2905982905983;0;21450;1715,3267148748093;1450;56;14990;495,93743002861055;429;4,44759956355701;92,69;92,32
Красота / Кератолитики;1725;638;564;36,98550724637681;32,69565217391305;88447;29427604;652;263;40,33742331288344;50;13243;721,0956521739131;436;104;4127;533,8368794326241;378;4,486767485822306;96,32;96,3
Красота / Шаблоны для моделирования ногтей;6100;2179;1692;35,721311475409834;27,737704918032787;139596;29580940;570;255;44,73684210526316;0;19000;477,0193442622951;251;50;3561;239,04787234042553;144;4,637970791698693;96,08;96,07
Спортивный товар / Аксессуары для оружия;20531;4190;2832;20,408163265306122;13,793775266669913;29400;30140776;556;316;56,834532374100725;58;218963;3227,7887584628124;1450;94;32156;1703,1987994350281;1054;4,455934687042077;92,72;92,27
Спецодежда и СИЗы / Трусы одноразовые;1360;463;416;34,044117647058826;30,58823529411765;63795;30197258;327;141;43,11926605504587;0;19000;950,7992647058824;520;120;11956;572,3004807692307;381;4,424028268551237;95,75;95,63
Игрушки / Одежда для кукол;30547;8207;6015;26,86679542999312;19,690968016499163;52480;30375223;687;322;46,87045123726347;53;49500;859,2032932857563;638,5;88;4297;636,1040731504572;528;4,834256973874168;94,19;93,77
Аксессуары / Футляры для очков;27359;7078;4211;25,87082861215688;15,391644431448519;88279;30393476;1298;608;46,84129429892142;20;85000;686,326437369787;427;50;9537;544,2512467347424;394;4,563849922066355;92,28;91,7
Аксессуары / Чехлы для ноутбуков;7186;2741;1826;38,1436125800167;25,410520456443084;25144;30744161;556;262;47,122302158273385;50;628652;2334,1386028388533;1500,5;50;49500;1724,34282584885;1125;4,3180084745762715;83,85;80,87
Головные уборы / Кепи;19776;8640;3987;43,689320388349515;20,160800970873787;24869;30851284;1026;442;43,07992202729045;0;40000;2481,7830198220063;1558;115;18564;1930,2932029094557;1464;4,605902892153633;67,08;64,28
Обувь / Валенки;8721;3486;2034;39,97248022015824;23,323013415892675;8961;31211911;581;259;44,57831325301205;0;97000;3774,2680885219584;3120;470;15280;3869,1430678466077;3462;4,539257865017478;62,86;60,05
Рукоделие / Наборы ниток;40608;9815;6498;24,17011426319937;16,00177304964539;93535;31886315;757;313;41,347424042272124;50;88000;592,1649674940899;405;69;13618;383,253000923361;295;4,6253809919645335;95,43;95,2
Спортивное питание и косметика / Гейнеры;4064;765;642;18,823818897637796;15,797244094488189;18118;32045673;275;110;40;52;40778;3031,283218503937;2123,5;295;9467;2229,0841121495328;1531;4,273507943323315;95,23;95,02
Рукоделие / Молды для рукоделия;22704;7200;4798;31,71247357293869;21,132840028188866;68690;32140282;638;352;55,17241379310345;39;95000;1092,8639887244537;475,5;68;14378;541,3186744476866;445;4,631806395851339;93,82;93,35
Автомобильные товары / Звукоизоляционный материал для авто;2361;562;477;23,80347310461669;20,203303684879288;27513;32210880;119;50;42,016806722689076;118;50000;2185,925031766201;1357;126;9732;1605,972746331237;1196;4,609878310665712;93,69;93,35
Красота / Тату машинки;1837;563;350;30,647795318453998;19,052803483941208;6188;32416384;172;85;49,418604651162795;100;147488;12748,870985302123;10374;220;51299;9461,762857142858;7103;4,336048879837067;88,4;88,06
Одежда / Анораки;2248;1051;768;46,75266903914591;34,163701067615655;8159;32589008;367;173;47,13896457765668;50;34508;5815,330960854092;4197;712;23528;5424,815104166667;4162;4,607708553326294;65,51;63,69
Дом / Сухоцветы;7109;2465;1936;34,674356449570965;27,233084822056547;47176;32984326;880;380;43,18181818181818;0;28500;1042,917428611619;660;110;8625;807,8837809917355;620,5;4,377900117970901;93,64;93,26
Аксессуары для волос / Шиньоны;9921;5334;3396;53,76474145751437;34,230420320532204;29806;33143013;230;144;62,60869565217392;52;19000;1593,5659711722608;1092;105;16344;1318,1118963486454;1012;4,306294536817102;68;67,62
Красота / Средства для удаления кутикулы;2211;637;553;28,810492989597467;25,01130710085934;102402;33245096;599;254;42,404006677796325;52;19000;772,6236996834011;426;67;4247;446,5822784810127;343;4,403767403767404;97,14;97,11
Все для садоводства / Шторы уличные;4074;1122;818;27,540500736377023;20,078546882670594;20807;33323547;167;68;40,7185628742515;0;20899;3482,2503681885123;2200;229;6302;1704,8826405867972;1599;4,414571575166752;91,08;88,05
Дом / Плейсматы;12538;3804;2699;30,339767107991705;21,526559259850057;58035;33542789;1121;463;41,302408563782336;0;36936;826,8814005423512;592;70;4290;656,1126343090033;572;4,618095448519664;92,52;91,27
Бижутерия / Бусы;31615;10779;5735;34,09457535979757;18,140123359164953;48625;34231613;1371;561;40,91903719912472;0;140000;1673,6253677052032;1040;90;65376;1224,8278988666086;825;4,540176948248697;87,33;86,58
Спецодежда и СИЗы / Фартуки рабочие;5400;2586;1963;47,888888888888886;36,351851851851855;57205;34731851;563;272;48,31261101243339;50;29887;1093,2274074074073;770;170;8256;848,3076923076923;691;4,77873417721519;93,12;92,71
Товары для взрослых / Боди эротик;12211;2671;1394;21,873720416018344;11,415936450741135;38549;34961422;934;392;41,97002141327623;16;59999;2295,3107853574647;1727;97;6840;930,1176470588235;800;4,290793650793651;79,79;79,6
Рукоделие / Ленты для рукоделия;70590;18069;11017;25,597110072248196;15,607026491004392;112610;34970663;1070;530;49,532710280373834;0;28500;688,702280776314;395;56;12220;362,85358990650815;291;4,719521384007956;94,75;94,6
Мебель / Ручки мебельные;29288;10829;6258;36,974187380497135;21,367112810707457;69869;35415160;686;359;52,332361516034986;0;38000;882,010857689156;539;50;10820;672,4720357941834;473;4,574910526965321;92,3;90,54
Ювелирная бижутерия / Кольца ювелирная бижутерия;13089;5779;3783;44,15157766063107;28,902131560852627;62657;35723481;997;461;46,238716148445334;0;135000;1400,6572694629078;864;58;17576;997,0465239228126;682;4,604166666666667;88,01;87,95
Товары для взрослых / Ролевые костюмы эротик;8253;2138;1436;25,9057312492427;17,39973343026778;42543;36171364;553;224;40,506329113924046;50;48909;2680,791227432449;2466,5;124;7007;1318,9122562674095;1080;4,305825242718447;85,72;85,6
Белье / Нижние юбки;1229;775;700;63,05939788445892;56,95687550854353;28917;36243453;226;143;63,274336283185846;0;12000;1569,7583401139138;1260;350;7000;1517,7142857142858;1306,5;4,619718309859155;62,9;62,67
Красота / Обезжириватели для ногтей;1883;658;581;34,94423791821561;30,855018587360597;136047;36474049;498;214;42,9718875502008;48;19000;547,8794476898566;376;48;2484;387,7091222030981;308;4,482403433476395;96,89;96,86
Рукоделие / Шнуры для рукоделия;18635;7540;5353;40,46149718272069;28,725516501207405;80039;37084839;489;269;55,01022494887526;36;199000;822,9487523477328;542;58;7259;573,5510928451336;459;4,698520796719391;95,36;95,05
Хозяйственные товары / Краски для ткани;4731;1279;1093;27,03445360388924;23,102938068061718;110643;37170074;294;125;42,51700680272109;50;19000;626,7622067216233;389;83;3345;392,22049405306495;287;4,036164160910199;94,72;94,71
Одежда для малышей / Крестильные комплекты для малышей;1977;1107;865;55,99393019726859;43,75316135558928;23289;37410566;318;156;49,056603773584904;60;14250;1734,6449165402125;1302;174;7222;1911,235838150289;1540;4,73950091296409;62,47;57,38
Одежда для малышей / Пинетки;13890;5799;3381;41,74946004319654;24,341252699784015;56680;38227645;1065;444;41,690140845070424;0;26800;765,5816414686825;612;100;5990;741,5181898846495;619;4,620887594242632;77,16;73,61
Посуда и инвентарь / Молды;29016;9187;6390;31,6618417424869;22,022332506203472;81851;38577395;628;310;49,36305732484076;50;42040;645,5616211745244;409;55;3410;525,88779342723;439;4,732844377002192;93,33;92,92
Одежда / Капри;5234;2290;1716;43,75238823079862;32,78563240351547;26739;38766890;749;354;47,2630173564753;60;67000;1500,7627053878487;1108;167;8980;1560,6322843822843;1225;4,516655180335401;58,67;53,94
Аксессуары / Галстуки;36228;16976;6387;46,85878326156564;17,630009937065253;86186;38984092;1104;550;49,81884057971015;0;41000;952,0006624710169;539;71;8788;744,738374823861;510;4,578607939616873;88,05;87,22
Одежда для малышей / Брюки для малышей;15281;5669;3393;37,09835743734049;22,204044237942544;58063;39350195;1446;595;41,14799446749654;0;72000;1585,1723054773902;622,5;125;5600;762,5119363395225;595;4,653347947389398;86;84,59
Аксессуары / Чехлы для чемоданов;12960;3477;2753;26,828703703703706;21,242283950617285;33317;40047180;306;149;48,69281045751634;0;47500;2261,6648148148147;1478;149;5301;1287,1634580457683;1271;4,565868663902635;84,92;80,14
Головные уборы / Хиджабы;11024;5145;4052;46,67089985486212;36,756168359941945;52048;40055990;443;247;55,75620767494357;0;12990;980,1997460087083;780;145;5100;884,7574037512339;779;4,6773869346733665;83,17;81,85
Красота / Клей для наращивания ресниц;3634;1226;1147;33,7369290038525;31,56301596037424;54758;40364377;264;128;48,484848484848484;53;9360;906,7900385250413;812;53;3015;829,2911944202267;777;3,7295332823259373;93,72;93,48
Товары для взрослых / Комплекты эротик;16699;3662;2148;21,92945685370381;12,863045691358764;52970;40574490;1001;418;41,75824175824176;0;100000;2725,4942810946764;2090;105;8700;1171,0675046554934;890;4,243854857588763;90,34;90,28
Аксессуары / Пояса;16795;6492;4748;38,654361417088424;28,270318547186665;61099;40767664;1431;630;44,0251572327044;50;95000;971,679190235189;600;75;8000;811,5286436394272;600;4,598270939086294;80,92;78,82
Строительные материалы / Панели для кухонных фартуков;7475;1418;1022;18,96989966555184;13,672240802675585;29283;40990601;86;40;46,51162790697674;200;40000;2549,1571906354516;2662;261;7943;1808,8659491193737;1485;4,256622516556291;89,89;87,72
Красота / Картриджи для тату машинки;7303;2138;1645;29,27564014788443;22,524989730247842;31330;41547345;145;93;64,13793103448276;54;10000;1659,1828015883884;1437;119;5453;1562,0474164133739;1449;4,558017631641649;94,86;94,83
Бытовая техника / Фильтры для пылесосов;18676;3335;2706;17,857142857142858;14,489183979438852;82563;42005819;699;326;46,63805436337625;0;46373;1292,6849432426643;883;84;10520;672,0133037694013;495;4,598979219832301;95,49;94,19
Одежда для малышей / Футболки для малышей;25712;8727;4802;33,94135034225265;18,67610454262601;74317;42985494;1817;729;40,121078701155746;0;50000;673,278274735532;571;42;4200;635,7603082049146;521;4,679774933531194;89,77;88,84
Одежда для малышей / Песочники;8370;3827;2792;45,722819593787335;33,35722819593787;45342;43144993;1009;514;50,94152626362735;0;19000;947,9407407407407;738;176;4290;932,4215616045846;801;4,588028169014085;82,28;80,17
Красота / Волосы для наращивания;10268;4508;3267;43,90338917023763;31,81729645500584;26716;43407870;337;140;41,54302670623145;41;300000;2691,3883911180365;1885;108;17600;2009,5843281297828;1906;4,274748032583184;87,88;87,86
Шторы и аксессуары / Жалюзи;19277;2708;1499;14,04782901903823;7,776106240597603;69592;43682278;259;117;45,173745173745175;101;29244;1962,663744358562;1748;136;6540;1310,1094062708473;1140;4,7085397843194405;92,65;91,56
Одежда / Полукомбинезоны;9485;3948;2278;41,62361623616236;24,016868740115974;23519;44220383;1006;453;45,029821073558644;0;100000;2648,584396415393;1933,5;0;59990;2401,5004389815626;1912;4,613309352517986;69,54;65,44
Красота / Эфирные масла;20620;5906;4694;28,642095053346267;22,764306498545103;98388;45080045;1151;478;41,52910512597741;0;71308;1061,9303103782736;513,5;88;45428;792,6188751597784;403;4,395515357075561;95,38;95,33
Красота / Оксиданты;9217;2144;1857;23,261364869263318;20,147553433872194;111632;45428899;618;292;47,249190938511326;82;12825;1008,1766301399588;669,5;96;9750;690,3791060850834;511;4,612881508078995;95,11;95,09
Белье для малышей / Трусы для малышей;10851;3980;2852;36,678647129296834;26,28329186250115;71079;46110846;1277;545;42,678151918559124;0;70000;690,0251589715234;460;70;5032;695,3215287517531;529;4,498088410991636;92,12;92,05
Головные уборы / Повязки на голову;33294;12675;6916;38,069922508560104;20,7725115636451;117796;46121737;2603;1079;41,45217057241644;0;85000;597,5137261969123;375;50;12500;503,8551185656449;371;4,72714296446548;86,1;85,02
Аксессуары для волос / Парики;13035;7843;3680;60,16877637130802;28,23168392788646;20027;46285659;337;157;46,58753709198813;50;58238;3804,09666283084;2296;143;43650;2902,750543478261;2201;4,265146390955648;62,63;62,54
Запчасти для авто / Автозапчасти;368636;16215;8725;4,398647988801962;2,36683340748055;44626;46402100;1695;733;43,2448377581121;0;341993;7294,381031695222;1959;0;55066;1741,1695128939828;1000;4,308625377192196;92,17;91,21
Товары для животных / Шлейки;14627;4459;2799;30,48472003828536;19,135844670814247;98551;46426425;1066;537;50,37523452157598;0;35087;1348,7693990565392;900,5;99;13536;833,4290818149339;531;4,664349706518381;84,03;80
Красота / Пигменты;11447;5321;3534;46,483794880754786;30,872717742639992;49476;47011060;520;239;45,96153846153846;52;40500;1728,020005241548;1538;90;22805;1598,9281267685342;1451;4,426599749058971;91,84;91,77
Для праздника / Открытки;68017;20468;11825;30,092476880779806;17,385359542467324;186427;48168233;2661;1157;43,47989477639985;0;116400;637,3073937398003;257;20;7800;264,0644397463002;224;4,710861905028246;94,85;94,75
Белье / Костюмы купальные;3560;1607;1253;45,140449438202246;35,19662921348314;25099;48711736;424;237;55,89622641509434;54;36133;1995,916011235955;1700,5;269;27000;1959,5299281723862;1792;4,480694980694981;56,98;56,86
Аксессуары для обуви / Шнурки;21353;10511;7414;49,22493326464665;34,72111647075352;319923;49055963;1331;662;49,73703981968445;35;49500;337,0279117688381;224;54;4500;233,88885891556515;200;4,674722775092408;95,14;94,87
Аксессуары / Банданы;29213;7313;5314;25,03337555198028;18,19053161263821;196269;49476971;1314;585;44,52054794520548;0;111111;698,8447951254578;522;80;5088;469,5150545728265;375;4,630702568864129;89,25;88,51
Автомобильные товары / Наклейки на авто;146323;21817;13291;14,910164499087635;9,083329346719244;166155;49818425;1543;773;50,09721322099806;0;37062;465,64335750360505;301;20;12402;366,5666992701828;256;4,60393090009743;94,01;93,73
Все для садоводства / Средства защиты растений;32993;5797;4738;17,570393719879974;14,360621950110628;149131;49922751;1063;518;48,73000940733772;0;46520;638,9526263146728;363;54;17940;454,66969185310256;292;4,455382564972436;97,15;97,08
Здоровье / Стельки ортопедические;6080;2225;1555;36,59539473684211;25,575657894736842;102751;50328274;851;360;42,30317273795535;54;16150;1132,7858552631578;798;82;9000;932,5993569131833;615;4,415934755332497;93,86;93,13
Обувь / Галоши;5473;2143;1576;39,1558560204641;28,79590718070528;67612;50992569;419;191;45,584725536992835;0;119400;1011,8889091905719;807;167;6790;944,7239847715736;819;4,5110484250117535;75,98;73,36
Товары для отдыха и кемпинга / Коврики пляжные;5051;1653;1380;32,72619283310236;27,321322510393983;37980;51193431;1144;480;41,95804195804196;0;20000;1294,7939021975847;1060;84;7342;1320,6246376811594;1120;4,31356160690213;89,63;88,6
Спортивная одежда / Костюмы маскировочные;1886;955;683;50,63626723223754;36,21420996818664;19732;51202027;344;192;55,81395348837209;138;81965;3758,724814422057;3216;174;17200;3333,453879941435;2838;4,310730253353205;72,45;70,1
Белье / Чулки;11290;3458;2366;30,62887511071745;20,95659875996457;113337;51779393;1035;452;43,671497584541065;50;90000;1070,500354295837;782,5;75;90000;679,9391377852917;519,5;4,069187722570799;91,74;91,69
Одежда для малышей / Ползунки;14727;5031;3329;34,16174373599511;22,604739593943098;72881;52345635;1216;539;44,32565789473684;45;19000;599,1316629320296;408;61;3500;561,7566836887954;475;4,660118219749652;89,69;89,61
Канцелярские товары / Стикеры;27665;9520;7412;34,41171154888849;26,79197542020604;242925;53717514;1528;754;49,345549738219894;0;38520;473,9957708295681;260,5;53;4840;244,43132757690233;210;4,707979930713177;95,72;95,62
Аксессуары / Парео;6061;2470;2031;40,75235109717868;33,50932189407688;45725;54110077;437;266;60,869565217391305;64;33814;1149,4240224385414;806;198;10560;1118,2191038897095;796;4,5576489862789265;66,6;64,89
Автомобильные товары / Другие автозапчасти для мотоциклов;46931;7399;5654;15,76569857876457;12,047473951119729;58298;54273391;283;159;56,18374558303887;58;94500;1570,2358782041722;700;99;41775;1234,3351609480014;695;4,290907812390127;90,97;89,79
Красота / Временные татуировки;27795;9582;6643;34,473826227738805;23,899982011153085;226175;54402879;984;470;47,764227642276424;0;19000;429,8175930922828;220;50;2259;234,24687641125996;199;4,549732840115084;93,98;93,83
Здоровье / Компрессионные чулки;3089;1258;879;40,72515377144707;28,455810942052445;41694;55586709;272;161;59,19117647058823;90;50000;2684,0890255746194;1998;353;9450;2037,835039817975;1481;4,050788091068301;85,91;85,6
Рукоделие / Бусины;59193;18463;12588;31,191188147247143;21,266028077644318;140223;55682015;1261;658;52,18080888183981;26;99174;792,2115621779602;431;30;12976;493,3314267556403;360;4,547087503207596;93,73;93,48
Красота / Флаконы косметические;13726;3849;3083;28,04167273786974;22,461022876293168;204774;56357611;1469;677;46,0857726344452;0;84999;704,9444120646947;352;51;12999;406,7622445669802;324;4,58249075215783;95,86;95,85
Товары для животных / Ошейники;37887;10357;6127;27,336553435215244;16,171773959405602;133631;56579940;2184;983;45,00915750915751;0;56999;818,5781666534696;522,5;52;23990;607,0936836951199;396;4,5928503814243555;93,88;93,29
Спортивное питание и косметика / Аминокислоты;17414;2120;1713;12,174112782818423;9,836912828758472;64639;56607870;610;248;40,65573770491803;50;50036;2150,616515447341;1703;124;17000;1405,4629305312317;1131;4,446261334918983;97,5;97,39
Бижутерия / Пирсинг;20055;6799;5301;33,90177013213662;26,43231114435303;194523;56735521;641;364;56,78627145085803;0;97000;619,0694091249065;425;50;6270;407,2258064516129;306;4,248793753838056;87,19;86,25
Автомобильные товары / Другие автоаксессуары;61730;9664;6425;15,655272962902966;10,408229386035964;120568;57321651;2335;951;40,728051391862955;0;127996;1809,1197634861494;1060;50;47385;981,1688715953308;628;4,278488755057872;94,21;93,66
Спортивное питание и косметика / Креатины;2439;500;451;20,50020500205002;18,491184911849118;52406;57653277;341;140;41,05571847507331;50;32843;2016,0885608856088;1573;131;25659;1570,729490022173;1299;4,47810979847116;96,8;96,72
Дом / Наволочки декоративные;82014;14236;8558;17,35801204672373;10,43480381398298;88006;58406829;1187;607;51,13732097725359;50;32000;797,683200429195;649;75;7520;761,7165225519981;649;4,748765921140837;89,84;87,57
Белье / Гольфы;18690;6308;4774;33,75066880684858;25,543071161048687;180709;59462223;1911;829;43,38042909471481;50;28959;580,1631353665061;406;50;4499;416,75219941348973;350;4,597567306979159;93,02;92,98
Мебель / Тумбы прикроватные;3262;1088;907;33,35377069282649;27,80502759043532;27039;59714595;454;197;43,392070484581495;0;83600;5456,161250766401;3674,5;790;14608;3054,348401323043;2667;4,47351598173516;92,75;91,74
